canonical_key,name_ko,district,merged_line_count,merged_lines,station_codes,coord_spread_m,name_variants,official_transfer_flag,transfer_line_match,operator_differs,ja_missing,zh_missing,decision,needs_review,review_reason
이촌,이촌,11170 용산구,2,4호선 · 경원선,0430 1008,907,이촌 | 이촌(국립중앙박물관) | 이촌역 | 국립중앙박물관,Y,true,true,false,false,merge,false,
서울,서울역,11140 중구 | 11170 용산구,4,1호선 · 4호선 · 경의중앙선 · 인천국제공항선,A01 0133 0426 1251,435,서울역 | 서울 | 서울역(경의선) | 경의선,Y,true,true,false,false,merge,false,
잠실,잠실,11710 송파구,2,2호선 · 8호선,0216 0814,394,잠실 | 잠실(송파구청) | 송파구청,Y,true,false,false,false,merge,false,
동대문역사문화공원,동대문역사문화공원,11140 중구,3,2호선 · 4호선 · 5호선,0205 0422 0536,346,동대문역사문화공원 | 동대문역사문화공원(DDP) | DDP,Y,true,false,false,false,merge,false,
디지털미디어시티,디지털미디어시티,11440 마포구 | 11380 은평구,3,6호선 · 경의중앙선 · 인천국제공항선,A04 0618 1266,325,디지털미디어시티 | 디지털미디어시티역,Y,true,true,false,false,merge,false,
노원,노원,11350 노원구,2,4호선 · 7호선,0411 0713,306,노원,Y,true,false,false,false,merge,false,
고속터미널,고속터미널,11650 서초구,3,3호선 · 7호선 · 서울 도시철도 9호선,0339 0734 4123,297,고속터미널,Y,true,true,false,false,merge,false,
홍대입구,홍대입구,11440 마포구,3,2호선 · 경의중앙선 · 인천국제공항선,A03 0239 1264,296,홍대입구 | 홍대입구역,Y,true,true,false,false,merge,false,
신당,신당,11140 중구,2,2호선 · 6호선,0206 0635,293,신당,Y,true,false,false,false,merge,false,
종로3가,종로3가,11110 종로구,3,1호선 · 3호선 · 5호선,0130 0329 0534,277,종로3가 | 종로3가(탑골공원) | 탑골공원,Y,false,false,false,false,merge,false,[OVERRIDE RV-7939e47f CONFIRMED_MERGE]
신설동,신설동,11230 동대문구 | 11110 종로구,3,1호선 · 2호선 · 우이신설선,0126 2114 S122,275,신설동,mixed,false,true,false,false,merge,false,[OVERRIDE RV-bac68788 CONFIRMED_MERGE]
종합운동장,종합운동장,11710 송파구,2,2호선 · 수도권  도시철도 9호선,0218 4130,271,종합운동장,Y,true,true,false,false,merge,false,
청량리,청량리,11230 동대문구,3,1호선 · 경의중앙선 · 경원선,0124 1014 1014,269,청량리 | 청량리(서울시립대입구) | 청량리역 | 서울시립대입구,Y,false,true,false,false,merge,false,
신길,신길역,11560 영등포구,2,경부선 · 5호선,0525 1032,261,신길역 | 신길,Y,true,true,false,false,merge,false,
총신대입구,총신대입구,11650 서초구 | 11590 동작구,2,4호선 · 7호선,0432 0736,256,총신대입구 | 총신대입구(이수) | 이수,Y,true,false,false,false,merge,false,
시청,시청,11140 중구,2,1호선 · 2호선,0132 0201,253,시청,Y,true,false,false,false,merge,false,
김포공항,김포공항,11500 강서구,5,5호선 · 서울 도시철도 9호선 · 서해선 · 인천국제공항선 · 김포도시철도,A05 G109 0512 4102 1980,245,김포공항 | 김포공항역,Y,false,true,false,false,merge,false,[OVERRIDE RV-1897605b CONFIRMED_MERGE]
영등포구청,영등포구청,11560 영등포구,2,2호선 · 5호선,0236 0523,224,영등포구청,Y,true,false,false,false,merge,false,
동작,동작,11650 서초구 | 11590 동작구,2,4호선 · 서울 도시철도 9호선,0431 4120,184,동작 | 동작(현충원) | 현충원,Y,true,true,false,false,merge,false,
대림,대림,11530 구로구 | 11560 영등포구,2,2호선 · 7호선,0233 0744,181,대림 | 대림(구로구청) | 구로구청,Y,true,false,false,false,merge,false,
옥수,옥수,11200 성동구,2,3호선 · 경원선,0335 1011,177,옥수 | 옥수역,Y,true,true,false,false,merge,false,
건대입구,건대입구,11215 광진구,2,2호선 · 7호선,0212 0727,173,건대입구,Y,true,false,false,false,merge,false,
